08:05:24 22:09:04 UTC,400.0,0.07,51.36,1.04,0.0,85.41,66.0,31.8
08:05:24 22:10:24 UTC,400.0,0.06,51.36,0.98,0.0,85.41,66.0,31.8
08:05:24 22:10:35 UTC,400.0,0.07,51.36,1.06,0.0,85.41,66.0,31.8
08:05:24 22:10:45 UTC,400.0,0.07,53.03,1.04,0.0,88.21,66.0,31.8
08:05:24 22:10:56 UTC,400.0,0.06,55.52,0.98,0.0,92.42,66.0,31.8
08:05:24 22:11:06 UTC,400.0,0.06,51.36,0.97,0.0,85.41,66.0,31.9
08:05:24 22:11:17 UTC,405.0,0.06,51.36,0.99,6.0,85.41,66.0,31.9
08:05:24 22:11:27 UTC,405.0,0.06,58.01,0.95,11.0,96.63,66.0,31.9
08:05:24 22:11:38 UTC,402.0,0.06,51.36,0.98,1.0,85.41,66.0,31.9
08:05:24 22:11:49 UTC,407.0,0.06,51.36,0.95,0.0,85.41,66.0,31.9
08:05:24 22:11:59 UTC,400.0,0.06,52.19,0.94,0.0,86.81,66.0,31.9
08:05:24 22:12:10 UTC,400.0,0.06,52.19,0.98,0.0,86.81,66.0,31.9
08:05:24 22:12:20 UTC,400.0,0.06,59.67,0.95,9.0,99.44,66.0,31.9
08:05:24 22:12:31 UTC,412.0,0.06,51.36,0.94,6.0,85.41,66.0,31.9
08:05:24 22:12:41 UTC,400.0,0.06,52.19,0.93,0.0,86.81,66.0,31.9
08:05:24 22:12:52 UTC,405.0,0.06,52.19,0.93,2.0,86.81,66.0,31.9
08:05:24 22:13:02 UTC,428.0,0.06,53.03,0.94,25.0,88.21,66.0,31.9
08:05:24 22:13:13 UTC,400.0,0.05,52.19,0.91,4.0,86.81,66.0,31.9
08:05:24 22:13:23 UTC,410.0,0.05,52.19,0.88,8.0,86.81,66.0,31.9
08:05:24 22:13:34 UTC,415.0,0.06,52.19,0.92,18.0,86.81,66.0,31.9
08:05:24 22:13:45 UTC,409.0,0.05,52.19,0.9,24.0,86.81,66.0,31.9
08:05:24 22:13:55 UTC,424.0,0.06,52.19,0.91,38.0,86.81,66.0,31.9
08:05:24 22:14:06 UTC,404.0,0.06,52.19,0.92,13.0,86.81,66.0,31.9
