08:05:24 22:06:37 UTC,400.0,0.09,51.36,1.21,0.0,85.41,66.0,31.8
08:05:24 22:06:48 UTC,400.0,0.09,51.36,1.24,0.0,170.82,66.0,31.8
08:05:24 22:06:58 UTC,400.0,0.09,51.36,1.21,0.0,256.23,66.0,31.8
08:05:24 22:07:09 UTC,409.0,0.09,51.36,1.21,14.0,341.64,66.0,31.8
08:05:24 22:07:20 UTC,407.0,0.08,52.19,1.17,25.0,428.45,66.0,31.8
08:05:24 22:07:30 UTC,400.0,0.08,51.36,1.17,26.0,513.86,66.0,31.8
08:05:24 22:07:41 UTC,412.0,0.08,52.19,1.17,60.0,600.67,66.0,31.8
08:05:24 22:07:51 UTC,403.0,0.08,51.36,1.13,34.0,686.08,66.0,31.8
